ObjectID,Date_Updated,F7_Day_MA_NA,New_Cases_NC,F7_Day_MA_NC,Doubling_Time,Curr_Hosp_Inpatients,F7_Day_MA_Hosp,Curr_ICU,F7_Day_MA_ICU,Curr_Ventilator,F7_Day_MA_Vent,Record_Status,New_Admissions,ACS_Admiss,DisplayDate,No_Data,NC_L7day
2,2020/03/13 05:00:00+00,0,3,0,0,1,0,0,0,0,0,Past,0,,,,0
3,2020/03/14 05:00:00+00,0,0,0,0,2,0,0,0,0,0,Past,1,,,,0
4,2020/03/15 05:00:00+00,0,0,0,0,2,0,0,0,0,0,Past,0,,,,0
5,2020/03/16 05:00:00+00,0,3,0,0,2,0,0,0,0,0,Past,0,,,,0
6,2020/03/17 05:00:00+00,0,11,0,0,3,0,0,0,0,0,Past,1,,,,0
7,2020/03/18 05:00:00+00,0.571428571428571,6,0,0,4,2.14285714285714,0,0,0,0,Past,1,,,,0
8,2020/03/19 05:00:00+00,0.571428571428571,18,5.85714285714286,0,5,2.71428571428571,0,0,0,0,Past,1,,,,41
9,2020/03/20 05:00:00+00,0.857142857142857,17,7.85714285714286,0,7,3.57142857142857,0,0,0,0,Past,2,,,,55
10,2020/03/21 05:00:00+00,1.14285714285714,15,10,0,9,4.57142857142857,0,0,0,0,Past,3,,,,70
11,2020/03/22 05:00:00+00,1.28571428571429,18,12.5714285714286,1.59905525846702,10,5.71428571428571,1,0,0,0,Past,1,,,,88
12,2020/03/23 05:00:00+00,1.85714285714286,9,13.4285714285714,2.51016636957813,13,7.28571428571429,0,0.142857142857143,0,0,Past,4,,,,94
13,2020/03/24 05:00:00+00,2.42857142857143,13,13.7142857142857,3.22485168426345,17,9.28571428571429,1,0.142857142857143,0,0,Past,5,,,,96
14,2020/03/25 05:00:00+00,3,6,13.7142857142857,4.82485168426345,22,11.8571428571429,1,0.285714285714286,0,0,Past,5,,,,96
15,2020/03/26 05:00:00+00,3.57142857142857,18,13.7142857142857,5.35818501759678,25,14.7142857142857,9,0.428571428571429,8,1.14285714285714,Past,5,,,,96
16,2020/03/27 05:00:00+00,5,23,14.5714285714286,5.71266072092159,29,17.8571428571429,8,1.71428571428571,7,2.14285714285714,Past,12,,,,102
17,2020/03/28 05:00:00+00,5.85714285714286,19,15.1428571428571,6.16809931741282,32,21.1428571428571,9,2.85714285714286,7,3.14285714285714,Past,9,,,,106
18,2020/03/29 05:00:00+00,6.28571428571429,21,15.5714285714286,6.61492471423822,35,24.7142857142857,11,4.14285714285714,11,4.71428571428571,Past,4,,,,109
19,2020/03/30 05:00:00+00,7,6,15.1428571428571,8.93714693646044,41,28.7142857142857,12,5.57142857142857,12,6.42857142857143,Past,9,,,,106
20,2020/03/31 05:00:00+00,7.71428571428571,38,18.7142857142857,8.71002143038756,47,33,17,7.28571428571429,13,8.28571428571429,Past,10,,,,131
21,2020/04/01 05:00:00+00,9,61,26.5714285714286,7.22668809705423,56,37.8571428571429,23,9.57142857142857,19,11,Past,14,,,,186
22,2020/04/02 05:00:00+00,9.57142857142857,46,30.5714285714286,7.22862046420399,61,43,29,12.7142857142857,23,13.1428571428571,Past,9,,,,214
23,2020/04/03 05:00:00+00,9.28571428571429,79,38.5714285714286,7.0772720877593,64,48,31,15.5714285714286,23,15.4285714285714,Past,10,,,,270
24,2020/04/04 05:00:00+00,9.14285714285714,30,40.1428571428571,7.66850015793474,59,51.8571428571429,37,18.8571428571429,24,17.8571428571429,Past,8,,,,281
25,2020/04/05 05:00:00+00,10,24,40.5714285714286,8.73278587222045,65,56.1428571428571,43,22.8571428571429,29,20.4285714285714,Past,10,,,,284
