"date","adm_total","recov_total","deaths_total","day","cum_adm_total","cum_recov_total","cum_deaths_total","hospitalized"
2020-01-20,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,1,0,0,0,0
2020-01-22,0,0,0,2,0,0,0,0
2020-01-23,0,0,0,3,0,0,0,0
2020-01-24,0,0,0,4,0,0,0,0
2020-01-25,0,0,0,5,0,0,0,0
2020-01-26,0,0,0,6,0,0,0,0
2020-01-27,0,0,0,7,0,0,0,0
2020-01-28,0,0,0,8,0,0,0,0
2020-01-29,0,0,0,9,0,0,0,0
2020-01-30,0,0,0,10,0,0,0,0
2020-01-31,0,0,0,11,0,0,0,0
2020-02-01,0,0,0,12,0,0,0,0
2020-02-02,0,0,0,13,0,0,0,0
2020-02-03,0,0,0,14,0,0,0,0
2020-02-04,0,0,0,15,0,0,0,0
2020-02-05,0,0,0,16,0,0,0,0
2020-02-06,0,0,0,17,0,0,0,0
2020-02-07,0,0,0,18,0,0,0,0
2020-02-08,0,0,0,19,0,0,0,0
2020-02-09,0,0,0,20,0,0,0,0
2020-02-10,0,0,0,21,0,0,0,0
2020-02-11,0,0,0,22,0,0,0,0
2020-02-12,0,0,0,23,0,0,0,0
2020-02-13,0,0,0,24,0,0,0,0
2020-02-14,0,0,0,25,0,0,0,0
2020-02-15,0,0,0,26,0,0,0,0
2020-02-16,0,0,0,27,0,0,0,0
2020-02-17,0,0,0,28,0,0,0,0
2020-02-18,0,0,0,29,0,0,0,0
2020-02-19,0,0,0,30,0,0,0,0
2020-02-20,0,0,0,31,0,0,0,0
2020-02-21,0,0,0,32,0,0,0,0
2020-02-22,0,0,0,33,0,0,0,0
2020-02-23,0,0,0,34,0,0,0,0
2020-02-24,0,0,0,35,0,0,0,0
2020-02-25,0,0,0,36,0,0,0,0
2020-02-26,0,0,0,37,0,0,0,0
2020-02-27,0,0,0,38,0,0,0,0
2020-02-28,0,0,0,39,0,0,0,0
2020-02-29,0,0,0,40,0,0,0,0
2020-03-01,0,0,0,41,0,0,0,0
2020-03-02,0,0,0,42,0,0,0,0
2020-03-03,0,0,0,43,0,0,0,0
2020-03-04,0,0,0,44,0,0,0,0
2020-03-05,0,0,0,45,0,0,0,0
2020-03-06,0,0,0,46,0,0,0,0
2020-03-07,0,0,0,47,0,0,0,0
2020-03-08,0,0,0,48,0,0,0,0
2020-03-09,0,0,0,49,0,0,0,0
2020-03-10,0,0,0,50,0,0,0,0
2020-03-11,0,0,0,51,0,0,0,0
2020-03-12,1,0,0,52,1,0,0,1
2020-03-13,0,0,0,53,1,0,0,1
2020-03-14,1,0,0,54,2,0,0,2
2020-03-15,0,0,0,55,2,0,0,2
2020-03-16,0,0,0,56,2,0,0,2
2020-03-17,1,0,0,57,3,0,0,3
2020-03-18,1,0,0,58,4,0,0,4
2020-03-19,1,0,0,59,5,0,0,5
2020-03-20,2,0,0,60,7,0,0,7
2020-03-21,3,1,0,61,10,1,0,9
2020-03-22,2,0,0,62,12,1,0,11
2020-03-23,4,1,0,63,16,2,0,14
2020-03-24,5,1,0,64,21,3,0,18
2020-03-25,5,0,0,65,26,3,0,23
2020-03-26,5,0,2,66,31,3,2,26
2020-03-27,12,8,0,67,43,11,2,30
2020-03-28,9,7,0,68,52,18,2,32
2020-03-29,4,1,0,69,56,19,2,35
2020-03-30,10,2,1,70,66,21,3,42
2020-03-31,10,4,0,71,76,25,3,48
2020-04-01,14,4,1,72,90,29,4,57
2020-04-02,9,3,1,73,99,32,5,62
2020-04-03,10,7,1,74,109,39,6,64
2020-04-04,8,13,0,75,117,52,6,59
2020-04-05,10,1,3,76,127,53,9,65
2020-04-06,7,7,1,77,134,60,10,64
2020-04-07,6,3,1,78,140,63,11,66
2020-04-08,6,5,0,79,146,68,11,67
2020-04-09,14,7,2,80,160,75,13,72
2020-04-10,12,11,0,81,172,86,13,73
2020-04-11,4,7,0,82,176,93,13,70
2020-04-12,4,5,1,83,180,98,14,68
2020-04-13,14,7,0,84,194,105,14,75
2020-04-14,10,9,1,85,204,114,15,75
2020-04-15,11,6,3,86,215,120,18,77
2020-04-16,7,7,0,87,222,127,18,77
2020-04-17,8,2,4,88,230,129,22,79
2020-04-18,11,12,2,89,241,141,24,76
2020-04-19,8,5,0,90,249,146,24,79
2020-04-20,5,4,0,91,254,150,24,80
2020-04-21,14,11,1,92,268,161,25,82
2020-04-22,9,4,1,93,277,165,26,86
2020-04-23,7,7,3,94,284,172,29,83
2020-04-24,11,12,2,95,295,184,31,80
2020-04-25,10,15,1,96,305,199,32,74
2020-04-26,4,-1,3,97,309,198,35,76
2020-04-27,11,5,1,98,320,203,36,81
2020-04-28,15,7,2,99,335,210,38,87
2020-04-29,13,10,0,100,348,220,38,90
2020-04-30,11,6,1,101,359,226,39,94
2020-05-01,7,10,1,102,366,236,40,90
2020-05-02,7,10,1,103,373,246,41,86
2020-05-03,8,4,1,104,381,250,42,89
2020-05-04,7,3,2,105,388,253,44,91
2020-05-05,11,6,0,106,399,259,44,96
2020-05-06,12,5,0,107,411,264,44,103
2020-05-07,12,11,1,108,423,275,45,103
2020-05-08,9,11,3,109,432,286,48,98
2020-05-09,9,15,1,110,441,301,49,91
2020-05-10,5,2,2,111,446,303,51,92
2020-05-11,7,4,2,112,453,307,53,93
2020-05-12,13,11,1,113,466,318,54,94
2020-05-13,7,4,1,114,473,322,55,96
2020-05-14,14,13,1,115,487,335,56,96
2020-05-15,17,8,2,116,504,343,58,103
2020-05-16,13,14,0,117,517,357,58,102
2020-05-17,13,11,0,118,530,368,58,104
2020-05-18,7,6,2,119,537,374,60,103
2020-05-19,12,14,1,120,549,388,61,100
2020-05-20,9,6,1,121,558,394,62,102
2020-05-21,10,14,1,122,568,408,63,97
2020-05-22,9,10,2,123,577,418,65,94
2020-05-23,6,12,0,124,583,430,65,88
2020-05-24,4,6,1,125,587,436,66,85
2020-05-25,14,5,1,126,601,441,67,93
2020-05-26,11,6,2,127,612,447,69,96
2020-05-27,13,9,0,128,625,456,69,100
2020-05-28,5,15,1,129,630,471,70,89
2020-05-29,16,19,1,130,646,490,71,85
2020-05-30,11,10,0,131,657,500,71,86
2020-05-31,4,7,0,132,661,507,71,83
2020-06-01,18,4,2,133,679,511,73,95
2020-06-02,12,11,2,134,691,522,75,94
2020-06-03,17,10,2,135,708,532,77,99
2020-06-04,11,17,1,136,719,549,78,92
2020-06-05,13,13,1,137,732,562,79,91
2020-06-06,8,15,1,138,740,577,80,83
2020-06-07,14,7,1,139,754,584,81,89
2020-06-08,9,6,0,140,763,590,81,92
2020-06-09,15,9,0,141,778,599,81,98
2020-06-10,26,12,1,142,804,611,82,111
2020-06-11,21,11,3,143,825,622,85,118
2020-06-12,31,14,4,144,856,636,89,131
2020-06-13,25,29,2,145,881,665,91,125
2020-06-14,30,17,0,146,911,682,91,138
2020-06-15,27,19,2,147,938,701,93,144
2020-06-16,22,18,2,148,960,719,95,146
2020-06-17,27,17,2,149,987,736,97,154
2020-06-18,41,25,1,150,1028,761,98,169
2020-06-19,37,24,1,151,1065,785,99,181
2020-06-20,38,33,1,152,1103,818,100,185
2020-06-21,38,22,0,153,1141,840,100,201
2020-06-22,38,20,1,154,1179,860,101,218
2020-06-23,56,36,2,155,1235,896,103,236
2020-06-24,78,38,2,156,1313,934,105,274
2020-06-25,57,37,1,157,1370,971,106,293
2020-06-26,61,53,2,158,1431,1024,108,299
2020-06-27,61,43,1,159,1492,1067,109,316
2020-06-28,65,27,3,160,1557,1094,112,351
2020-06-29,60,40,3,161,1617,1134,115,368
2020-06-30,68,61,6,162,1685,1195,121,369
2020-07-01,65,56,2,163,1750,1251,123,376
2020-07-02,91,49,3,164,1841,1300,126,415
2020-07-03,77,69,5,165,1918,1369,131,418
2020-07-04,75,54,5,166,1993,1423,136,434
2020-07-05,68,54,2,167,2061,1477,138,446
2020-07-06,75,50,5,168,2136,1527,143,466
2020-07-07,73,58,12,169,2209,1585,155,469
2020-07-08,67,73,5,170,2276,1658,160,458
2020-07-09,66,76,8,171,2342,1734,168,440
