fips,State,Area_name,Unemployment_rate_2018,Median_Household_Income_2018
0,US,United States,3.9,61937
1000,AL,Alabama,3.9,49881
1001,AL,"Autauga County, AL",3.6,59338
1003,AL,"Baldwin County, AL",3.6,57588
1005,AL,"Barbour County, AL",5.2,34382
1007,AL,"Bibb County, AL",4,46064
1009,AL,"Blount County, AL",3.5,50412
1011,AL,"Bullock County, AL",4.7,29267
1013,AL,"Butler County, AL",4.8,37365
1015,AL,"Calhoun County, AL",4.7,45400
1017,AL,"Chambers County, AL",3.9,39917
1019,AL,"Cherokee County, AL",3.6,42132
1021,AL,"Chilton County, AL",3.6,47547
1023,AL,"Choctaw County, AL",5.5,39907
1025,AL,"Clarke County, AL",7.5,40741
1027,AL,"Clay County, AL",3.9,39201
1029,AL,"Cleburne County, AL",4.2,46495
1031,AL,"Coffee County, AL",3.9,55122
1033,AL,"Colbert County, AL",4.6,49055
1035,AL,"Conecuh County, AL",5.2,32613
1037,AL,"Coosa County, AL",4.2,42423
1039,AL,"Covington County, AL",4.6,40203
1041,AL,"Crenshaw County, AL",4.1,39057
1043,AL,"Cullman County, AL",3.3,45796
1045,AL,"Dale County, AL",4.2,45309
1047,AL,"Dallas County, AL",6.5,34035
1049,AL,"DeKalb County, AL",3.8,39491
1051,AL,"Elmore County, AL",3.4,60367
1053,AL,"Escambia County, AL",4.6,38418
1055,AL,"Etowah County, AL",4.1,44903
1057,AL,"Fayette County, AL",4.1,39254
1059,AL,"Franklin County, AL",3.7,39388
1061,AL,"Geneva County, AL",3.9,37823
1063,AL,"Greene County, AL",6.7,28524
1065,AL,"Hale County, AL",5.1,34724
1067,AL,"Henry County, AL",4.4,46027
1069,AL,"Houston County, AL",4,47993
1071,AL,"Jackson County, AL",4.1,41929
1073,AL,"Jefferson County, AL",3.7,55013
1075,AL,"Lamar County, AL",3.8,40936
1077,AL,"Lauderdale County, AL",4.2,48707
1079,AL,"Lawrence County, AL",4.2,43909
1081,AL,"Lee County, AL",3.6,48937
1083,AL,"Limestone County, AL",3.5,64863
1085,AL,"Lowndes County, AL",7.3,33973
1087,AL,"Macon County, AL",5.5,32495
1089,AL,"Madison County, AL",3.5,63755
1091,AL,"Marengo County, AL",5,37733
1093,AL,"Marion County, AL",4.1,37887
1095,AL,"Marshall County, AL",3.4,46233
1097,AL,"Mobile County, AL",4.7,43598
1099,AL,"Monroe County, AL",6.2,39556
1101,AL,"Montgomery County, AL",4,49640
1103,AL,"Morgan County, AL",3.5,52797
1105,AL,"Perry County, AL",6.5,26814
1107,AL,"Pickens County, AL",4.6,37586
1109,AL,"Pike County, AL",4.5,37259
1111,AL,"Randolph County, AL",4,40546
1113,AL,"Russell County, AL",4,39104
1115,AL,"St. Clair County, AL",3.5,57284
1117,AL,"Shelby County, AL",2.9,75663
1119,AL,"Sumter County, AL",5.9,27859
1121,AL,"Talladega County, AL",4.3,41630
1123,AL,"Tallapoosa County, AL",4.2,42205
1125,AL,"Tuscaloosa County, AL",3.7,52557
1127,AL,"Walker County, AL",4.2,45434
1129,AL,"Washington County, AL",5.8,44424
1131,AL,"Wilcox County, AL",9.6,25385
1133,AL,"Winston County, AL",4.2,41156
2000,AK,Alaska,6.6,74912
2013,AK,"Aleutians East Borough, AK",3,70081
2016,AK,"Aleutians West Census Area, AK",3.5,82633
2020,AK,"Anchorage Borough/municipality, AK",5.5,82113
2050,AK,"Bethel Census Area, AK",12.8,44304
2060,AK,"Bristol Bay Borough, AK",6.3,77257
2068,AK,"Denali Borough, AK",7.8,75477
2070,AK,"Dillingham Census Area, AK",8.2,54524
2090,AK,"Fairbanks North Star Borough, AK",5.8,74268
2100,AK,"Haines Borough, AK",9.5,58943
2105,AK,"Hoonah-Angoon Census Area, AK",12.6,51188
2110,AK,"Juneau Borough/city, AK",4.4,79173
2122,AK,"Kenai Peninsula Borough, AK",7.7,65439
2130,AK,"Ketchikan Gateway Borough, AK",6,68309
2150,AK,"Kodiak Island Borough, AK",5.8,74109
2158,AK,"Kusilvak Census Area, AK",19.9,32728
2164,AK,"Lake and Peninsula Borough, AK",11.6,49403
2170,AK,"Matanuska-Susitna Borough, AK",7.6,74649
2180,AK,"Nome Census Area, AK",11.6,55318
2185,AK,"North Slope Borough, AK",7,89276
2188,AK,"Northwest Arctic Borough, AK",14.2,59337
2195,AK,"Petersburg Borough, AK",8.7,66075
2198,AK,"Prince of Wales-Hyder Census Area, AK",10.9,49356
2201,AK,"Prince of Wales-Outer Ketchikan Census Area, AK",,
2220,AK,"Sitka Borough/city, AK",4.2,71825
2230,AK,"Skagway Municipality, AK",9.8,74635
2232,AK,"Skagway-Hoonah-Angoon Census Area, AK",,
2240,AK,"Southeast Fairbanks Census Area, AK",9.6,63527
2261,AK,"Valdez-Cordova Census Area, AK",7.4,68528
2275,AK,"Wrangell Borough/city, AK",7,57832
2280,AK,"Wrangell-Petersburg Census Area, AK",,
2282,AK,"Yakutat Borough/city, AK",8.2,59523
2290,AK,"Yukon-Koyukuk Census Area, AK",15.3,38912
4000,AZ,Arizona,4.8,59079
4001,AZ,"Apache County, AZ",10.1,33652
4003,AZ,"Cochise County, AZ",5.6,49164
4005,AZ,"Coconino County, AZ",5.5,60187
4007,AZ,"Gila County, AZ",5.9,43585
4009,AZ,"Graham County, AZ",5.1,50157
4011,AZ,"Greenlee County, AZ",4.3,65818
4012,AZ,"La Paz County, AZ",6.2,37350
4013,AZ,"Maricopa County, AZ",4.1,65234
4015,AZ,"Mohave County, AZ",5.8,45129
4017,AZ,"Navajo County, AZ",7.8,40650
4019,AZ,"Pima County, AZ",4.5,53395
4021,AZ,"Pinal County, AZ",5,58848
4023,AZ,"Santa Cruz County, AZ",9.3,40545
4025,AZ,"Yavapai County, AZ",4.5,48758
4027,AZ,"Yuma County, AZ",17,44116
5000,AR,Arkansas,3.7,47094
5001,AR,"Arkansas County, AR",3.4,43887
5003,AR,"Ashley County, AR",5.5,41127
5005,AR,"Baxter County, AR",4.1,39686
5007,AR,"Benton County, AR",2.9,68978
5009,AR,"Boone County, AR",3.5,44482
5011,AR,"Bradley County, AR",4.5,37729
5013,AR,"Calhoun County, AR",3.9,44969
5015,AR,"Carroll County, AR",3.2,45023
5017,AR,"Chicot County, AR",6.9,31787
5019,AR,"Clark County, AR",3.8,45408
5021,AR,"Clay County, AR",4.4,37687
5023,AR,"Cleburne County, AR",4.5,44902
5025,AR,"Cleveland County, AR",3.9,47600
5027,AR,"Columbia County, AR",4.8,40909
5029,AR,"Conway County, AR",4.4,44565
5031,AR,"Craighead County, AR",3.1,45615
5033,AR,"Crawford County, AR",3.6,47363
5035,AR,"Crittenden County, AR",4.3,42606
5037,AR,"Cross County, AR",4.2,41214
5039,AR,"Dallas County, AR",4.4,37259
5041,AR,"Desha County, AR",4.5,36132
5043,AR,"Drew County, AR",5,42494
5045,AR,"Faulkner County, AR",3.3,53882
5047,AR,"Franklin County, AR",3.6,43696
5049,AR,"Fulton County, AR",4,35630
5051,AR,"Garland County, AR",4,43610
5053,AR,"Grant County, AR",3.1,52050
5055,AR,"Greene County, AR",3.5,46512
5057,AR,"Hempstead County, AR",3.6,38682
5059,AR,"Hot Spring County, AR",3.8,47205
