fips,State,Area_name,Rural-urban_Continuum Code_2003,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2003,POP_ESTIMATE_2018
0,US,United States,,,,327167434
1000,AL,Alabama,,,,4887871
1001,AL,Autauga County,2,2,2,55601
1003,AL,Baldwin County,4,3,5,218022
1005,AL,Barbour County,6,6,6,24881
1007,AL,Bibb County,1,1,1,22400
1009,AL,Blount County,1,1,1,57840
1011,AL,Bullock County,6,6,6,10138
1013,AL,Butler County,6,6,6,19680
1015,AL,Calhoun County,3,3,2,114277
1017,AL,Chambers County,6,6,5,33615
1019,AL,Cherokee County,8,6,6,26032
1021,AL,Chilton County,1,1,1,44153
1023,AL,Choctaw County,9,9,10,12841
1025,AL,Clarke County,7,7,11,23920
1027,AL,Clay County,9,9,10,13275
1029,AL,Cleburne County,8,8,4,14987
1031,AL,Coffee County,6,4,5,51909
1033,AL,Colbert County,3,3,2,54762
1035,AL,Conecuh County,9,7,11,12277
1037,AL,Coosa County,8,8,7,10715
1039,AL,Covington County,7,6,9,36986
1041,AL,Crenshaw County,8,8,6,13824
1043,AL,Cullman County,6,4,3,83442
1045,AL,Dale County,4,4,5,48956
1047,AL,Dallas County,4,4,5,38310
1049,AL,DeKalb County,6,6,6,71385
1051,AL,Elmore County,2,2,2,81887
1053,AL,Escambia County,6,6,6,36748
1055,AL,Etowah County,3,3,2,102501
1057,AL,Fayette County,6,6,6,16433
1059,AL,Franklin County,6,6,6,31363
1061,AL,Geneva County,3,3,2,26314
1063,AL,Greene County,3,8,2,8233
1065,AL,Hale County,3,3,2,14726
1067,AL,Henry County,3,3,2,17209
1069,AL,Houston County,3,3,2,104722
1071,AL,Jackson County,6,6,5,51736
1073,AL,Jefferson County,1,1,1,659300
1075,AL,Lamar County,9,8,10,13844
1077,AL,Lauderdale County,3,3,2,92387
1079,AL,Lawrence County,3,3,2,32957
1081,AL,Lee County,3,3,2,163941
1083,AL,Limestone County,2,2,2,96174
1085,AL,Lowndes County,2,2,2,9974
1087,AL,Macon County,6,6,5,18439
1089,AL,Madison County,2,2,2,366519
1091,AL,Marengo County,7,7,11,19066
1093,AL,Marion County,8,7,4,29763
1095,AL,Marshall County,4,4,5,96109
1097,AL,Mobile County,2,2,2,413757
1099,AL,Monroe County,7,7,11,21067
1101,AL,Montgomery County,2,2,2,225763
1103,AL,Morgan County,3,3,2,119089
1105,AL,Perry County,8,8,6,9140
1107,AL,Pickens County,8,3,6,19938
1109,AL,Pike County,6,6,5,33338
1111,AL,Randolph County,6,6,4,22725
1113,AL,Russell County,2,2,2,57781
1115,AL,St. Clair County,1,1,1,88690
1117,AL,Shelby County,1,1,1,215707
1119,AL,Sumter County,8,8,6,12691
1121,AL,Talladega County,4,4,5,79828
1123,AL,Tallapoosa County,6,6,6,40497
1125,AL,Tuscaloosa County,3,3,2,208911
1127,AL,Walker County,1,1,1,63711
1129,AL,Washington County,8,8,7,16378
1131,AL,Wilcox County,8,9,7,10627
1133,AL,Winston County,6,6,4,23660
2000,AK,Alaska,,,,737438
2013,AK,Aleutians East Borough,9,9,12,3515
2016,AK,Aleutians West Census Area,7,9,11,5723
2020,AK,Anchorage Municipality,2,2,2,291538
2050,AK,Bethel Census Area,7,7,11,18216
2060,AK,Bristol Bay Borough,9,9,12,877
2068,AK,Denali Borough,8,8,7,2059
2070,AK,Dillingham Census Area,9,9,12,5000
2090,AK,Fairbanks North Star Borough,3,3,2,98971
2100,AK,Haines Borough,9,9,10,2474
2105,AK,Hoonah-Angoon Census Area,,9,,2151
2110,AK,Juneau City and Borough,5,5,8,32113
2122,AK,Kenai Peninsula Borough,7,7,11,58533
2130,AK,Ketchikan Gateway Borough,7,7,8,13918
2150,AK,Kodiak Island Borough,7,7,8,13345
2158,AK,Kusilvak Census Area,9,9,12,8303
2164,AK,Lake and Peninsula Borough,9,9,12,1587
2170,AK,Matanuska-Susitna Borough,2,2,2,107610
2180,AK,Nome Census Area,7,7,11,10008
2185,AK,North Slope Borough,7,7,11,9872
2188,AK,Northwest Arctic Borough,7,7,11,7671
2195,AK,Petersburg Borough,,9,,3221
2198,AK,Prince of Wales-Hyder Census Area,,9,,6422
2220,AK,Sitka City and Borough,7,7,11,8647
2230,AK,Skagway Municipality,,9,,1148
2240,AK,Southeast Fairbanks Census Area,8,9,7,6918
2261,AK,Valdez-Cordova Census Area,9,9,11,9164
2275,AK,Wrangell City and Borough,,9,,2503
2282,AK,Yakutat City and Borough,9,9,12,604
2290,AK,Yukon-Koyukuk Census Area,8,9,7,5327
4000,AZ,Arizona,,,,7171646
4001,AZ,Apache County,6,6,6,71818
4003,AZ,Cochise County,4,3,5,126770
4005,AZ,Coconino County,3,3,2,142854
4007,AZ,Gila County,4,4,3,53889
4009,AZ,Graham County,6,7,8,38072
4011,AZ,Greenlee County,7,7,8,9483
4012,AZ,La Paz County,6,6,4,21098
4013,AZ,Maricopa County,1,1,1,4410824
4015,AZ,Mohave County,4,3,3,209550
4017,AZ,Navajo County,4,4,6,110445
4019,AZ,Pima County,2,2,2,1039073
4021,AZ,Pinal County,1,1,1,447138
4023,AZ,Santa Cruz County,4,4,5,46511
4025,AZ,Yavapai County,3,3,2,231993
4027,AZ,Yuma County,3,3,2,212128
5000,AR,Arkansas,,,,3013825
5001,AR,Arkansas County,6,6,6,17769
5003,AR,Ashley County,7,7,11,20046
5005,AR,Baxter County,7,7,8,41619
5007,AR,Benton County,2,2,2,272608
5009,AR,Boone County,7,7,8,37480
5011,AR,Bradley County,6,7,6,10897
5013,AR,Calhoun County,9,9,8,5277
5015,AR,Carroll County,6,6,6,28223
5017,AR,Chicot County,7,7,9,10438
5019,AR,Clark County,7,7,8,22061
5021,AR,Clay County,7,7,9,14847
5023,AR,Cleburne County,6,6,6,24965
5025,AR,Cleveland County,3,3,2,8018
5027,AR,Columbia County,7,7,8,23537
5029,AR,Conway County,6,6,6,20891
5031,AR,Craighead County,3,3,2,108558
5033,AR,Crawford County,2,2,2,63406
5035,AR,Crittenden County,1,1,1,48342
5037,AR,Cross County,6,6,4,16676
5039,AR,Dallas County,6,6,6,7182
5041,AR,Desha County,6,6,6,11512
5043,AR,Drew County,7,6,11,18328
5045,AR,Faulkner County,2,2,2,124806
5047,AR,Franklin County,2,6,2,17810
5049,AR,Fulton County,9,9,9,12269
5051,AR,Garland County,3,3,2,99154
5053,AR,Grant County,2,2,2,18188
5055,AR,Greene County,6,4,5,45325
5057,AR,Hempstead County,6,6,5,21741
5059,AR,Hot Spring County,6,6,6,33701
5061,AR,Howard County,7,6,9,13341
5063,AR,Independence County,7,7,8,37678
5065,AR,Izard County,9,9,10,13593
5067,AR,Jackson County,6,6,6,16811
5069,AR,Jefferson County,3,3,2,68114
5071,AR,Johnson County,6,7,6,26742
5073,AR,Lafayette County,8,8,7,6682
5075,AR,Lawrence County,6,6,6,16434
5077,AR,Lee County,6,7,4,8985
5079,AR,Lincoln County,3,3,2,13383
5081,AR,Little River County,6,3,6,12326
5083,AR,Logan County,6,6,6,21737
5085,AR,Lonoke County,2,2,2,73657
5087,AR,Madison County,2,2,2,16481
5089,AR,Marion County,9,9,10,16722
5091,AR,Miller County,3,3,2,43592
5093,AR,Mississippi County,4,4,5,41239
5095,AR,Monroe County,7,7,9,6900
5097,AR,Montgomery County,8,8,7,8924
5099,AR,Nevada County,7,7,8,8326
5101,AR,Newton County,9,9,8,7805
5103,AR,Ouachita County,7,7,8,23606
5105,AR,Perry County,2,2,2,10352
5107,AR,Phillips County,7,6,8,18029
5109,AR,Pike County,9,9,10,10673
5111,AR,Poinsett County,3,3,2,23974
5113,AR,Polk County,7,7,11,20049
5115,AR,Pope County,5,5,8,64000
5117,AR,Prairie County,8,8,7,8074
5119,AR,Pulaski County,2,2,2,392680
5121,AR,Randolph County,7,7,11,17948
5123,AR,St. Francis County,6,6,3,25439
5125,AR,Saline County,2,2,2,121421
5127,AR,Scott County,6,6,6,10319
5129,AR,Searcy County,9,9,10,7958
5131,AR,Sebastian County,2,2,2,127753
5133,AR,Sevier County,7,6,11,17139
5135,AR,Sharp County,7,7,9,17366
5137,AR,Stone County,9,9,9,12457
5139,AR,Union County,5,7,8,39126
5141,AR,Van Buren County,8,8,7,16603
5143,AR,Washington County,2,2,2,236961
5145,AR,White County,4,4,5,78727
5147,AR,Woodruff County,9,9,9,6490
5149,AR,Yell County,6,6,5,21535
6000,CA,California,,,,39557045
6001,CA,Alameda County,1,1,1,1666753
6003,CA,Alpine County,8,8,4,1101
6005,CA,Amador County,6,6,4,39383
6007,CA,Butte County,3,3,2,231256
6009,CA,Calaveras County,6,6,6,45602
6011,CA,Colusa County,6,6,4,21627
6013,CA,Contra Costa County,1,1,1,1150215
6015,CA,Del Norte County,7,7,8,27828
6017,CA,El Dorado County,1,1,1,190678
6019,CA,Fresno County,2,2,2,994400
6021,CA,Glenn County,6,6,6,28047
6023,CA,Humboldt County,5,5,8,136373
6025,CA,Imperial County,3,3,2,181827
6027,CA,Inyo County,7,7,8,17987
6029,CA,Kern County,2,2,2,896764
6031,CA,Kings County,3,3,2,151366
6033,CA,Lake County,4,4,5,64382
6035,CA,Lassen County,6,7,6,30802
6037,CA,Los Angeles County,1,1,1,10105518
6039,CA,Madera County,3,3,2,157672
6041,CA,Marin County,1,1,1,259666
6043,CA,Mariposa County,8,8,7,17471
6045,CA,Mendocino County,4,4,5,87606
6047,CA,Merced County,3,2,2,274765
6049,CA,Modoc County,6,6,6,8777
6051,CA,Mono County,7,7,9,14250
6053,CA,Monterey County,2,2,2,435594
6055,CA,Napa County,3,3,2,139417
6057,CA,Nevada County,4,4,3,99696
6059,CA,Orange County,1,1,1,3185968
6061,CA,Placer County,1,1,1,393149
6063,CA,Plumas County,7,7,12,18804
6065,CA,Riverside County,1,1,1,2450758
6067,CA,Sacramento County,1,1,1,1540975
6069,CA,San Benito County,1,1,1,61537
6071,CA,San Bernardino County,1,1,1,2171603
6073,CA,San Diego County,1,1,1,3343364
6075,CA,San Francisco County,1,1,1,883305
6077,CA,San Joaquin County,2,2,2,752660
6079,CA,San Luis Obispo County,3,2,2,284010
6081,CA,San Mateo County,1,1,1,769545
6083,CA,Santa Barbara County,2,2,2,446527
6085,CA,Santa Clara County,1,1,1,1937570
6087,CA,Santa Cruz County,2,2,2,274255
6089,CA,Shasta County,3,3,2,180040
6091,CA,Sierra County,8,8,7,2987
6093,CA,Siskiyou County,7,6,11,43724
6095,CA,Solano County,2,2,2,446610
6097,CA,Sonoma County,2,2,2,499942
6099,CA,Stanislaus County,2,2,2,549815
6101,CA,Sutter County,3,3,2,96807
6103,CA,Tehama County,4,4,5,63916
6105,CA,Trinity County,8,8,6,12535
6107,CA,Tulare County,2,2,2,465861
6109,CA,Tuolumne County,4,4,5,54539
6111,CA,Ventura County,2,2,2,850967
6113,CA,Yolo County,1,1,1,220408
6115,CA,Yuba County,3,3,2,78041
8000,CO,Colorado,,,,5695564
8001,CO,Adams County,1,1,1,511868
8003,CO,Alamosa County,7,7,11,16683
8005,CO,Arapahoe County,1,1,1,651215
8007,CO,Archuleta County,7,7,10,13765
8009,CO,Baca County,9,9,12,3585
8011,CO,Bent County,7,7,11,5882
8013,CO,Boulder County,2,2,2,326078
8014,CO,Broomfield County,1,1,1,69267
8015,CO,Chaffee County,7,7,11,20027
8017,CO,Cheyenne County,9,9,12,1876
8019,CO,Clear Creek County,1,1,1,9605
8021,CO,Conejos County,9,9,12,8200
8023,CO,Costilla County,9,9,12,3828
8025,CO,Crowley County,8,8,7,5858
8027,CO,Custer County,8,8,7,4954
8029,CO,Delta County,6,6,6,30953
8031,CO,Denver County,1,1,1,716492
8033,CO,Dolores County,9,9,10,2074
8035,CO,Douglas County,1,1,1,342776
8037,CO,Eagle County,5,5,8,54993
8039,CO,Elbert County,1,1,1,26282
8041,CO,El Paso County,2,2,2,713856
8043,CO,Fremont County,4,4,5,48021
8045,CO,Garfield County,5,5,9,59770
8047,CO,Gilpin County,1,1,1,6121
8049,CO,Grand County,8,7,4,15525
8051,CO,Gunnison County,7,7,11,17246
8053,CO,Hinsdale County,9,9,12,811
8055,CO,Huerfano County,6,6,6,6889
8057,CO,Jackson County,9,9,12,1399
8059,CO,Jefferson County,1,1,1,580233
8061,CO,Kiowa County,9,9,12,1383
8063,CO,Kit Carson County,7,7,11,7163
8065,CO,Lake County,7,6,8,7824
8067,CO,La Plata County,6,4,5,56310
8069,CO,Larimer County,2,2,2,350518
8071,CO,Las Animas County,7,7,11,14503
8073,CO,Lincoln County,8,8,4,5610
8075,CO,Logan County,7,7,8,21528
8077,CO,Mesa County,3,3,2,153207
8079,CO,Mineral County,9,9,12,776
8081,CO,Moffat County,7,7,11,13188
8083,CO,Montezuma County,6,6,6,26158
8085,CO,Montrose County,7,4,8,42214
8087,CO,Morgan County,6,6,3,28558
8089,CO,Otero County,6,6,6,18432
8091,CO,Ouray County,9,9,10,4833
8093,CO,Park County,1,1,1,18556
8095,CO,Phillips County,9,9,10,4286
8097,CO,Pitkin County,7,7,9,17950
8099,CO,Prowers County,7,7,11,12164
8101,CO,Pueblo County,3,3,2,167529
8103,CO,Rio Blanco County,9,9,12,6336
8105,CO,Rio Grande County,7,7,11,11250
8107,CO,Routt County,7,7,11,25733
8109,CO,Saguache County,9,9,12,6843
8111,CO,San Juan County,9,9,10,762
8113,CO,San Miguel County,9,9,12,8191
8115,CO,Sedgwick County,9,9,10,2303
8117,CO,Summit County,7,5,8,31007
8119,CO,Teller County,2,2,2,25083
8121,CO,Washington County,9,9,10,4909
8123,CO,Weld County,3,2,2,314305
8125,CO,Yuma County,7,7,11,10020
9000,CT,Connecticut,,,,3572665
9001,CT,Fairfield County,2,2,2,943823
9003,CT,Hartford County,1,1,1,892697
9005,CT,Litchfield County,4,4,5,181111
9007,CT,Middlesex County,1,1,1,162682
9009,CT,New Haven County,2,2,2,857620
9011,CT,New London County,2,2,2,266784
9013,CT,Tolland County,1,1,1,150921
9015,CT,Windham County,4,2,5,117027
10000,DE,Delaware,,,,967171
10001,DE,Kent County,3,3,2,178550
10003,DE,New Castle County,1,1,1,559335
10005,DE,Sussex County,4,2,5,229286
11000,DC,District of Columbia,,,,702455
11001,DC,District of Columbia,1,1,1,702455
12000,FL,Florida,,,,21299325
12001,FL,Alachua County,3,2,2,269956
12003,FL,Baker County,1,1,1,28355
12005,FL,Bay County,3,3,2,185287
12007,FL,Bradford County,6,6,6,27732
12009,FL,Brevard County,2,2,2,596849
12011,FL,Broward County,1,1,1,1951260
12013,FL,Calhoun County,6,6,7,14587
12015,FL,Charlotte County,3,3,2,184998
12017,FL,Citrus County,4,3,5,147929
12019,FL,Clay County,1,1,1,216072
12021,FL,Collier County,2,2,2,378488
12023,FL,Columbia County,6,4,5,70503
12027,FL,DeSoto County,6,6,5,37489
12029,FL,Dixie County,6,6,7,16700
12031,FL,Duval County,1,1,1,950181
12033,FL,Escambia County,2,2,2,315534
12035,FL,Flagler County,4,2,5,112067
12037,FL,Franklin County,6,6,7,11736
12039,FL,Gadsden County,2,2,2,45894
12041,FL,Gilchrist County,3,2,2,18256
12043,FL,Glades County,6,6,4,13724
12045,FL,Gulf County,6,3,6,16164
12047,FL,Hamilton County,6,6,7,14310
12049,FL,Hardee County,6,6,5,27245
12051,FL,Hendry County,4,4,5,41556
12053,FL,Hernando County,1,1,1,190865
12055,FL,Highlands County,4,3,5,105424
12057,FL,Hillsborough County,1,1,1,1436888
12059,FL,Holmes County,6,6,6,19477
12061,FL,Indian River County,3,3,2,157413
12063,FL,Jackson County,6,6,6,48305
12065,FL,Jefferson County,2,2,2,14288
12067,FL,Lafayette County,8,9,7,8732
12069,FL,Lake County,1,1,1,356495
12071,FL,Lee County,2,2,2,754610
12073,FL,Leon County,2,2,2,292502
12075,FL,Levy County,8,6,7,40770
12077,FL,Liberty County,8,8,7,8457
12079,FL,Madison County,6,6,6,18529
12081,FL,Manatee County,2,2,2,394855
12083,FL,Marion County,2,2,2,359977
12085,FL,Martin County,2,2,2,160912
12086,FL,Miami-Dade County,1,1,1,2761581
12087,FL,Monroe County,4,4,3,75027
12089,FL,Nassau County,1,1,1,85832
12091,FL,Okaloosa County,3,3,2,207269
12093,FL,Okeechobee County,4,4,5,41537
12095,FL,Orange County,1,1,1,1380645
12097,FL,Osceola County,1,1,1,367990
12099,FL,Palm Beach County,1,1,1,1485941
12101,FL,Pasco County,1,1,1,539630
12103,FL,Pinellas County,1,1,1,975280
12105,FL,Polk County,2,2,2,708009
12107,FL,Putnam County,4,4,3,74163
12109,FL,St. Johns County,1,1,1,254261
