msa,county,state,central.outlying,fips,state_short,pop,rural_urban,msa_pop,rural_urban_msa,pop_rank,county_weight
"Abilene, TX",Callahan,Texas,Outlying,48059,TX,13994,0.3333333333333333,171451,0.3333333333333333,248,0.08162098792074704
"Abilene, TX",Jones,Texas,Outlying,48253,TX,19817,0.3333333333333333,171451,0.3333333333333333,248,0.11558404442085495
"Abilene, TX",Taylor,Texas,Central,48441,TX,137640,0.3333333333333333,171451,0.3333333333333333,248,0.802794967658398
"Akron, OH",Portage,Ohio,Central,39133,OH,162927,0.2222222222222222,704845,0.2222222222222222,82,0.23115294852059673
"Akron, OH",Summit,Ohio,Central,39153,OH,541918,0.2222222222222222,704845,0.2222222222222222,82,0.7688470514794032
"Albany, GA",Dougherty,Georgia,Central,13095,GA,91243,0.3333333333333333,149917,0.3333333333333333,282,0.6086234383025274
"Albany, GA",Lee,Georgia,Central,13177,GA,29764,0.3333333333333333,149917,0.3333333333333333,282,0.19853652354302714
"Albany, GA",Terrell,Georgia,Outlying,13273,GA,8611,0.3333333333333333,149917,0.3333333333333333,282,0.057438449275265646
"Albany, GA",Worth,Georgia,Outlying,13321,GA,20299,0.3333333333333333,149917,0.3333333333333333,282,0.1354015888791798
"Albany-Schenectady-Troy, NY",Albany,New York,Central,36001,NY,307117,0.2222222222222222,883169,0.22222222222222218,63,0.3477443162067509
"Albany-Schenectady-Troy, NY",Rensselaer,New York,Central,36083,NY,159442,0.2222222222222222,883169,0.22222222222222218,63,0.18053396348830178
"Albany-Schenectady-Troy, NY",Saratoga,New York,Central,36091,NY,230163,0.2222222222222222,883169,0.22222222222222218,63,0.26061037015565536
"Albany-Schenectady-Troy, NY",Schenectady,New York,Central,36093,NY,155350,0.2222222222222222,883169,0.22222222222222218,63,0.17590064868671795
"Albany-Schenectady-Troy, NY",Schoharie,New York,Outlying,36095,NY,31097,0.2222222222222222,883169,0.22222222222222218,63,0.03521070146257398
"Albuquerque, NM",Bernalillo,New Mexico,Central,35001,NM,678701,0.2222222222222222,915927,0.2222222222222222,60,0.74099900974641
"Albuquerque, NM",Sandoval,New Mexico,Central,35043,NM,145179,0.2222222222222222,915927,0.2222222222222222,60,0.15850499002649773
"Albuquerque, NM",Torrance,New Mexico,Outlying,35057,NM,15591,0.2222222222222222,915927,0.2222222222222222,60,0.017022098922730742
"Albuquerque, NM",Valencia,New Mexico,Outlying,35061,NM,76456,0.2222222222222222,915927,0.2222222222222222,60,0.0834739013043616
"Alexandria, LA",Grant,Louisiana,Outlying,22043,LA,22482,0.3333333333333333,153044,0.3333333333333333,272,0.1468989310263715
