index,date,0-4-high,5-18-high,19-49-high,50-64-high,65-high,0-4-low,5-18-low,19-49-low,50-64-low,65-low
1,2021-01-01,0,0,2285,1331,2651,0,0,0,0,30
2,2021-01-02,0,0,4571,2662,5302,0,0,0,0,60
3,2021-01-03,0,0,6857,3993,7954,0,0,0,0,90
4,2021-01-04,0,0,9143,5324,10605,0,0,0,0,120
5,2021-01-05,0,0,11428,6655,13257,0,0,0,0,150
6,2021-01-06,0,0,13714,7986,15908,0,0,0,0,180
7,2021-01-07,0,0,16000,9317,18560,0,0,0,0,210
8,2021-01-08,0,0,18286,10648,21211,0,0,0,0,240
9,2021-01-09,0,0,20571,11979,23863,0,0,0,0,270
10,2021-01-10,0,0,22857,13310,26514,0,0,0,0,300
11,2021-01-11,0,0,25143,14641,29165,0,0,0,0,330
12,2021-01-12,0,0,27429,15972,31817,0,0,0,0,360
13,2021-01-13,0,0,29715,17303,34468,0,0,0,0,390
14,2021-01-14,0,0,32000,18634,37120,0,0,0,0,420
15,2021-01-15,0,0,34286,19965,39771,0,0,0,0,450
16,2021-01-16,0,0,36572,21296,42423,0,0,0,0,480
17,2021-01-17,0,0,38858,22627,45074,0,0,0,0,510
18,2021-01-18,0,0,41143,23958,47726,0,0,0,0,540
19,2021-01-19,0,0,43429,25289,50377,0,0,0,0,570
20,2021-01-20,0,0,45715,26620,53028,0,0,0,0,600
21,2021-01-21,0,0,48001,27951,55680,0,0,0,0,630
22,2021-01-22,0,0,50286,29282,58331,0,0,0,0,660
23,2021-01-23,0,0,52572,30613,60983,0,0,0,0,690
24,2021-01-24,0,0,54858,31944,63634,0,0,0,0,720
25,2021-01-25,0,0,57144,33275,66286,0,0,0,0,751
26,2021-01-26,0,0,59430,34606,68937,0,0,0,0,781
27,2021-01-27,0,0,61715,35937,71589,0,0,0,0,811
28,2021-01-28,0,0,64001,37268,74240,0,0,0,0,841
29,2021-01-29,0,0,66287,38599,76892,0,0,0,0,871
30,2021-01-30,0,0,68573,39930,79543,0,0,0,0,901
31,2021-01-31,0,0,70858,41261,82194,0,0,0,0,931
32,2021-02-01,0,0,73144,42593,84846,0,0,0,0,961
