,date,0-4-high,5-18-high,19-49-high,50-64-high,65-high,0-4-low,5-18-low,19-49-low,50-64-low,65-low
0,2021-03-02,0,0.0,46374.94522480663,25662.64324117126,57975.44679058616,0,0,0,0,0
1,2021-03-03,0,0.4327481218689656,47951.24781883187,26616.472849192047,59537.178091956746,0,0,0,0,0
2,2021-03-04,0,0.8654962437379312,49201.84266438406,27484.884880375153,61719.00858651863,0,0,0,0,0
3,2021-03-05,0,1.298244365606897,50403.27407620445,28609.549642071306,64360.17181677775,0,0,0,0,0
4,2021-03-06,0,1.7309924874758624,52125.53061412091,30017.160127042283,67368.80123559463,0,0,0,0,0
5,2021-03-07,0,2.163740609344828,53059.635855024746,30841.083836955764,68899.91035458542,0,0,0,0,0
6,2021-03-08,0,2.596488731213794,53993.74109592858,31665.007546869245,70431.0194735762,0,0,0,0,0
7,2021-03-09,0,3.029236853082759,56115.45053291576,32624.175753442392,71308.85536846425,0,0,0,0,0
8,2021-03-10,0,3.461984974951725,57488.95396279739,33569.10769720925,72469.9464503656,0,0,0,0,0
9,2021-03-11,0,3.8947330968206906,59486.21845815101,34864.607612580774,74136.30354153391,0,0,0,0,0
10,2021-03-12,0,4.327481218689656,59486.21845815101,34864.607612580774,74136.30354153391,0,0,0,0,0
11,2021-03-13,0,4.760229340558621,66567.2892728316,39395.298250679516,80993.12054608099,0,0,0,0,0
12,2021-03-14,0,5.192977462427588,68770.42564693703,40929.25556805624,82506.3667253502,0,0,0,0,0
13,2021-03-15,0,5.6257255842965534,70279.12851958106,41867.069380419955,83412.27295408644,0,0,0,0,0
14,2021-03-16,0,6.058473706165518,71099.54331998018,42507.70120670257,84052.78693553091,0,0,0,0,0
15,2021-03-17,0,6.491221828034485,72093.56649574461,43175.02602574697,84915.31173922904,0,0,0,0,0
16,2021-03-18,0,6.92396994990345,72774.17278146897,43609.232041338524,85448.64808234417,0,0,0,0,0
17,2021-03-19,0,7.356718071772415,73800.4594606199,44276.556860382916,86252.48036981435,0,0,0,0,0
18,2021-03-20,0,7.789466193641381,74789.87356447199,44954.55887653203,87263.01238834826,0,0,0,0,0
19,2021-03-21,0,8.222214315510348,74789.87356447199,44954.55887653203,87263.01238834826,0,0,0,0,0
20,2021-03-22,0,8.654962437379313,78530.90359999971,47057.96670615996,89781.68688908809,0,0,0,0,0
21,2021-03-23,0,9.087710559248277,79715.4350814748,47780.45704357869,90595.72657068486,0,0,0,0,0
22,2021-03-24,0,9.520458681117242,80899.9665629499,48502.94738099742,91409.76625228162,0,0,0,0,0
23,2021-03-25,0,9.95320680298621,82221.23384449152,49399.83193779309,92550.44254592978,0,0,0,0,0
24,2021-03-26,0,10.385954924855175,85651.91970458737,51905.41419169844,95949.50479008933,0,0,0,0,0
25,2021-03-27,0,10.81870304672414,91276.52379496396,54895.02938101733,99167.38578850163,0,0,0,0,0
26,2021-03-28,0,11.251451168593107,91276.52379496396,54895.02938101733,99167.38578850163,0,0,0,0,0
27,2021-03-29,0,11.684199290462072,97398.13947322275,58395.37049851153,103763.0,0,0,0,0,722.4381284629635
28,2021-03-30,0,12.116947412331037,103519.75515148156,61895.711616005734,103763.0,0,0,0,0,6040.490468424294
29,2021-03-31,0,12.549695534200005,106815.241568815,64258.93124184829,103763.0,0,0,0,0,8992.979219544854
30,2021-04-01,0,12.98244365606897,114354.14686012281,68599.21186491303,103763.0,0,0,0,0,13494.440029377773
31,2021-04-02,0,13.415191777937935,121903.80665255945,72610.27891058254,103763.0,0,0,0,0,17089.994610474474
32,2021-04-03,0,13.8479398998069,129651.65653722733,76660.49567896932,103763.0,0,0,0,0,20335.945942734936
33,2021-04-04,0,14.280688021675866,129651.65653722733,76660.49567896932,103763.0,0,0,0,0,20335.945942734936
34,2021-04-05,0,14.71343614354483,144479.04087927166,84321.38460159898,103763.0,0,0,0,0,27950.661961182457
35,2021-04-06,0,15.146184265413796,151785.95621765763,88255.93173468474,103763.0,0,0,0,0,32036.171460356214
36,2021-04-07,0,15.578932387282762,156209.0,90916.33334660839,103763.0,0,0,1040.2427911018312,0,33766.3247648158
37,2021-04-08,0,16.011680509151727,156209.0,94708.51785163135,103763.0,0,0,9508.644251401129,0,36103.81801980839
38,2021-04-09,0,16.444428631020696,156209.0,99689.43030097868,103763.0,0,0,18905.00552338778,0,38992.510557637666
39,2021-04-10,0,16.87717675288966,156209.0,107519.37484443294,103763.0,0,0,33188.51937977434,0,44305.459200535726
40,2021-04-11,0,17.309924874758625,156209.0,108196.0,103763.0,0,0,44903.24382367529,5507.251500911007,47551.41053279617
41,2021-04-12,0,17.74267299662759,156209.0,108196.0,103763.0,0,0,52108.75957998942,8657.024646800579,48763.53858533056
42,2021-04-13,0,18.175421118496555,156209.0,108196.0,103763.0,0,0,60598.67004254635,11831.71125260109,51190.34653893096
43,2021-04-14,0,18.608169240365523,156209.0,108196.0,103763.0,0,0,66403.02793750478,15531.360049383205,53617.15449253135
