,date,0-4-high,5-18-high,19-49-high,50-64-high,65-high,0-4-low,5-18-low,19-49-low,50-64-low,65-low
0,2021-03-02,0,0.0,139432.1071352435,81192.96584991887,161738.44679058617,0,0,0,0,1832.4922397312766
1,2021-03-03,0,2.56763885642253,145121.23823239305,84477.98349246806,163300.17809195674,0,0,0,0,4606.351593636253
2,2021-03-04,0,5.13527771284506,150510.7796552396,87690.04028813509,165482.00858651864,0,0,0,0,6979.570728071965
3,2021-03-05,0,7.702916569267588,155474.75010484536,90982.17606208744,168123.17181677776,0,0,0,0,8908.768218000361
4,2021-03-06,0,10.27055542569012,161910.55085179632,94706.73831878055,171131.8012355946,0,0,0,0,11333.024323069112
5,2021-03-07,0,12.83819428211265,167606.5955568144,98757.84485359272,172662.91035458542,0,0,0,0,14391.414788253198
6,2021-03-08,0,15.405833138535176,173302.64026183248,102808.95138840491,174194.01947357622,0,0,0,0,17449.8052534373
7,2021-03-09,0,17.973471994957706,181847.85958733765,107154.570610022,175071.85536846425,0,0,0,0,20665.13440331795
8,2021-03-10,0,20.54111085138024,189572.6641124438,111178.09438564701,176232.9464503656,0,0,0,0,23811.56364284402
9,2021-03-11,0,23.108749707802765,197695.38517931648,115730.13941795519,177899.3035415339,0,0,0,0,26728.326514521497
10,2021-03-12,0,25.6763885642253,197695.38517931648,115730.13941795519,177899.3035415339,0,0,0,0,26728.326514521497
11,2021-03-13,0,28.244027420647825,222776.28927283158,131277.91793526418,184756.120546081,0,0,855.8799146076199,0,37379.74228563407
12,2021-03-14,0,30.81166627707035,224979.42564693704,136867.43061958003,186269.3667253502,0,0,7959.996088850021,0,40115.32391156425
13,2021-03-15,0,33.379305133492885,226488.12851958105,140944.3403807286,187175.27295408642,0,0,13853.462707447237,0,42251.22113255641
14,2021-03-16,0,35.94694398991541,227308.54331998018,144882.44657951593,187815.7869355309,0,0,20542.7624095777,0,44729.06605678986
15,2021-03-17,0,38.514582846337944,228302.56649574463,149099.9394358765,188678.31173922904,0,0,27262.789257790573,0,47018.074189681036
16,2021-03-18,0,41.08222170276048,228983.17278146895,151805.23204133852,189211.64808234415,0,0,33153.18316177957,917.836278736344,49003.41234730577
17,2021-03-19,0,43.649860559183,230009.4594606199,152472.5568603829,190015.48036981435,0,0,39504.48425700405,5195.388368810905,51166.74194001316
18,2021-03-20,0,46.21749941560553,230998.87356447199,153150.558876532,191026.01238834826,0,0,45855.78535222856,9472.94045888551,53330.071532720554
19,2021-03-21,0,48.785138272028064,230998.87356447199,153150.558876532,191026.01238834826,0,0,52207.08644745301,13750.492548960057,55493.401125427976
20,2021-03-22,0,51.3527771284506,234739.90359999973,155253.96670615996,193544.68688908807,0,0,58558.38754267749,18028.044639034648,57656.73071813537
21,2021-03-23,0,53.92041598487312,235924.4350814748,155976.45704357867,194358.72657068487,0,0,62862.49253016448,20876.186966716108,58669.81458520095
22,2021-03-24,0,56.48805484129565,237108.9665629499,156698.94738099742,195172.7662522816,0,0,67166.5975176515,23724.329294397583,59682.89845226653
23,2021-03-25,0,59.05569369771818,238430.23384449154,157595.8319377931,196313.44254592978,0,0,73355.04473863947,27480.92314240485,60895.02650480089
24,2021-03-26,0,61.6233325541407,241860.91970458737,160101.41419169842,199712.50479008933,0,0,80926.21353333374,32198.464729836007,63362.66403490768
25,2021-03-27,0,64.19097141056324,247485.52379496396,163091.02938101732,202930.38578850165,0,0,84727.16150372202,33926.3911279483,64268.570263643924
26,2021-03-28,0,66.75861026698577,247485.52379496396,163091.02938101732,202930.38578850165,0,0,84727.16150372202,33926.3911279483,64268.570263643924
27,2021-03-29,0,69.3262491234083,253607.13947322275,166591.37049851153,207526.0,0,0,93316.16701239461,38982.043957028654,67115.42229470657
28,2021-03-30,0,71.89388797983082,259728.75515148154,170091.71161600575,207526.0,0,0,101905.17252106717,44037.69678610898,74557.88853726765
29,2021-03-31,0,74.46152683625337,263024.241568815,172454.93124184827,207526.0,0,0,106869.14297067293,46068.1437688547,78411.17982006114
30,2021-04-01,0,77.02916569267589,270563.1468601228,176795.21186491303,207526.0,0,0,118367.24103469326,49515.09890082537,84170.70195599816
31,2021-04-02,0,79.59680454909841,278112.80665255943,180806.27891058254,207526.0,0,0,128599.38068012026,52072.2876074035,88733.4071305907
32,2021-04-03,0,82.16444340552096,285860.65653722733,184856.4956789693,207526.0,0,0,137183.00893822836,54394.57797767801,93094.51627118279
33,2021-04-04,0,84.73208226194348,285860.65653722733,184856.4956789693,207526.0,0,0,137183.00893822836,54394.57797767801,93094.51627118279
34,2021-04-05,0,87.299721118366,300688.0408792717,192517.38460159898,207526.0,0,0,151526.44072947546,58345.1409064208,104965.71564042469
35,2021-04-06,0,89.86735997478853,307994.95621765766,196451.93173468474,207526.0,0,0,161624.9172894442,60549.98210854351,111233.05563416032
36,2021-04-07,0,92.43499883121106,312418.0,199112.3333466084,207526.0,0,0,172338.06566727386,62941.6742599986,114042.6408675084
